value	carat	price
40616.19995	467	648
40632.19995	466	648
40649.19995	463	648
40666.19995	459	648
40683.19995	452	649
40701.19995	446	649
40718.19995	442	649
40733.19995	440	649
40750.19995	439	649
40766.19995	432	650
40782.19995	430	651
40798.19995	422	654
40816.19995	417	658
40833.19995	407	662
40851.19995	400	667
40872.19995	394	674
40882.19995	390	679
40900.19995	387	688
40915.19995	384	697
40932.19995	383	706
40949.19995	383	717
40965.19995	384	726
40983.19995	386	731
40998.19995	389	739
41016.19995	389	740
41033.19995	393	747
41050.19995	398	751
41066.19995	406	756
41083.19995	412	759
41100.19995	414	760
41115.19995	415	760
41132.19995	415	761
41266.19995	415	758
41283.19995	415	757
41299.19995	415	749
41315.19995	415	739
41333.19995	415	728
41349.19995	415	719
41367.19995	415	709
41386.19995	418	699
41399.19995	419	692
41415.19995	422	687
41432.19995	425	682
41450.19995	426	680
41466.19995	426	679
41565.19995	427	678
41581.19995	428	675
41599.19995	429	673
41615.19995	430	666
41632.19995	431	661
41648.19995	432	652
41666.19995	434	646
41682.19995	434	643
41699.19995	435	640
41718.19995	435	636
41742.19995	436	633
41768.19995	436	632
41932.19995	434	632
41948.19995	433	633
41967.19995	430	635
41985.19995	429	636
41999.19995	429	636
42016.19995	426	637
42037.19995	422	638
42049.19995	420	639
42066.19995	414	641
42083.19995	406	644
42100.19995	404	645
42116.19995	400	646
42133.19995	395	648
42149.19995	385	651
42166.19995	376	655
42182.19995	366	658
42199.19995	359	659
42216.19995	343	664
42232.19995	333	668
42250.19995	327	670
42265.19995	319	673
42282.19995	313	674
42299.19995	309	675
42366.19995	309	672
42381.19995	309	667
42398.19995	312	657
42416.19995	318	645
42433.19995	324	631
42449.19995	329	624
42467.19995	337	614
42483.19995	342	609
42499.19995	344	607
42515.19995	346	606
43300.19995	347	606
43332.19995	346	606
43366.19995	345	606
43465.19995	345	607
43482.19995	347	608
43500.19995	357	610
43516.19995	405	619
43532.19995	480	631
43549.19995	570	646
43565.19995	660	658
43583.19995	739	668
43600.19995	801	672
43616.19995	828	672
43632.19995	838	672
43649.19995	842	672
43665.19995	844	671
43831.19995	844	669
43849.19995	844	668
43865.19995	844	665
43882.19995	844	663
43915.19995	845	663
43932.19995	847	664
43949.19995	849	669
43966.19995	850	671
43998.19995	847	671
44016.19995	839	669
44047.19995	835	667
44115.19995	833	667
44132.19995	827	667
44148.19995	818	667
44177.19995	813	667
44186.19995	811	667
44199.19995	811	668
44215.19995	811	670
44232.19995	817	671
44252.19995	824	671
44266.19995	832	669
44283.19995	836	668
44300.19995	837	666
44316.19995	839	660
44332.19995	846	650
44349.19995	851	644
44366.19995	858	635
44382.19995	863	628
44400.19995	869	619
44419.19995	877	609
44432.19995	882	602
44449.19995	889	595
44465.19995	889	593
44481.19995	891	590
44499.19995	891	589
